City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Butaritari,KI,82.35,broken clouds,3.0707,172.7902,Isles Sunset Lodge
9,Rikitea,PF,76.15,overcast clouds,-23.1203,-134.9692,People ThankYou
11,Bengkulu,ID,84.65,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
13,Mahebourg,MU,82.69,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
15,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
22,Warri,NG,77.23,overcast clouds,5.5167,5.75,BON Hotel Delta
33,Oranjestad,AW,80.55,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
34,Kavieng,PG,84.78,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
49,Ambon,ID,85.26,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
52,Busselton,AU,84.85,scattered clouds,-33.65,115.3333,Observatory Guest House
60,Namatanai,PG,84.6,light rain,-3.6667,152.4333,Seagulls Inn Namatani
75,Lasem,ID,82.87,moderate rain,-6.6922,111.4527,"Nyah Lasem | Museum, Warung & Community Center"
80,Kapaa,US,76.98,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
81,Monrovia,LR,76.77,light rain,6.3005,-10.7969,Sunset Inn
86,Harper,LR,77.77,light rain,4.375,-7.7169,Screensaver
96,Bambous Virieux,MU,82.65,few clouds,-20.3428,57.7575,Casa Tia Villa
98,Bambanglipuro,ID,83.89,light rain,-7.95,110.2833,Puri Brata
107,Hithadhoo,MV,81.36,broken clouds,-0.6,73.0833,Scoop Guest House
110,Pandua,IN,78.67,clear sky,23.0833,88.2833,Marriage Registry Office Joypur Road
112,Kalmunai,LK,84.07,broken clouds,7.4167,81.8167,VS Villa
115,Victoria,HK,76.96,overcast clouds,22.2855,114.1577,Mini Hotel Central
122,Mareeba,AU,81.32,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
124,Georgetown,MY,87.75,scattered clouds,5.4112,100.3354,Cititel Penang
129,Labuhan,ID,84.92,moderate rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
132,Mayumba,GA,77.45,light rain,-3.432,10.6554,LIKWALE LODGE
134,Khanpur,PK,82.62,clear sky,28.6453,70.6567,Ahmad bartan store
135,Atuona,PF,78.3,light rain,-9.8,-139.0333,Villa Enata
137,Boyolangu,ID,85.24,light rain,-8.1181,111.8935,Yos ega cv
141,Saint-Philippe,RE,83.79,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
143,Itarema,BR,80.35,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
144,Bathsheba,BB,77.61,few clouds,13.2167,-59.5167,Atlantis Hotel
146,Majene,ID,86.52,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
151,Buchanan,LR,76.96,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
153,Chirgaon,IN,78.31,clear sky,25.5833,78.8167,yogendra Rajpoot
155,Ahmadpur,IN,79.74,overcast clouds,18.7,76.9333,Hengane (Pitashri Niwas)
156,Bandarbeyla,SO,82.49,broken clouds,9.4942,50.8122,JABIR HOTEL
161,Kirakira,SB,82.87,scattered clouds,-10.4544,161.9205,SanBiz Lodge
164,Tabuk,PH,81.73,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
165,Innisfail,AU,83.28,light rain,-17.5333,146.0333,Moondarra Motel
171,Vaini,TO,82.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
176,Alice Springs,AU,78.35,clear sky,-23.7,133.8833,Desert Palms Alice Springs
179,Cotonou,BJ,80.76,broken clouds,6.3654,2.4183,Novotel Cotonou Orisha
183,Tutoia,BR,80.24,broken clouds,-2.7619,-42.2744,Pousada Guará's
184,Avarua,CK,80.65,light rain,-21.2078,-159.775,Paradise Inn
186,Puerto Escondido,MX,76.84,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
189,Grand Gaube,MU,82.8,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
