City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,55.0,53,100,6.82,overcast clouds
1,Barrow,US,71.2906,-156.7887,-16.58,69,1,5.75,clear sky
2,Morgan City,US,29.6994,-91.2068,48.2,87,1,0.0,clear sky
3,Albany,US,42.6001,-73.9662,30.61,75,95,16.84,light snow
4,Kitui,KE,-1.367,38.0106,69.49,82,93,4.68,light rain
5,Platanos,GR,37.6667,21.6167,59.68,84,88,4.76,overcast clouds
6,Butaritari,KI,3.0707,172.7902,82.35,74,84,17.18,broken clouds
7,Tuktoyaktuk,CA,69.4541,-133.0374,-4.0,77,90,20.71,light snow
8,Chapais,CA,49.7834,-74.8492,19.18,90,100,13.65,overcast clouds
9,Rikitea,PF,-23.1203,-134.9692,76.15,74,100,15.64,overcast clouds
10,Chokurdakh,RU,70.6333,147.9167,-23.89,97,93,3.06,overcast clouds
11,Bengkulu,ID,-3.8004,102.2655,84.65,56,99,8.88,overcast clouds
12,Armidale,AU,-30.5167,151.65,60.48,83,99,9.73,overcast clouds
13,Mahebourg,MU,-20.4081,57.7,82.69,57,20,11.5,few clouds
14,Geraldton,AU,-28.7667,114.6,102.61,11,14,17.27,few clouds
15,Olinda,BR,-8.0089,-34.8553,82.13,74,40,8.05,scattered clouds
16,Lerwick,GB,60.1545,-1.1494,35.6,62,90,28.72,overcast clouds
17,Kysyl-Syr,RU,63.8986,122.7617,0.45,91,100,10.47,overcast clouds
18,Bluff,NZ,-46.6,168.3333,51.64,58,93,17.9,overcast clouds
19,Puerto Ayora,EC,-0.7393,-90.3518,68.99,83,92,8.75,overcast clouds
20,Jinchang,CN,38.4953,102.1739,47.25,14,0,3.42,clear sky
21,Severobaykalsk,RU,55.65,109.3167,12.88,63,46,10.07,scattered clouds
22,Warri,NG,5.5167,5.75,77.23,91,97,1.45,overcast clouds
23,Punta Arenas,CL,-53.15,-70.9167,41.11,81,75,8.05,broken clouds
24,Ponta Do Sol,PT,32.6667,-17.1,61.43,73,71,8.99,broken clouds
25,Port Alfred,ZA,-33.5906,26.891,68.22,74,93,35.79,overcast clouds
26,Chunoyar,RU,57.4467,97.3217,10.31,89,98,7.58,overcast clouds
27,Yar-Sale,RU,66.8333,70.8333,-8.09,97,54,7.56,broken clouds
28,Ushuaia,AR,-54.8,-68.3,40.66,81,40,2.3,scattered clouds
29,Upernavik,GL,72.7868,-56.1549,19.17,86,100,9.6,light snow
30,Arkhara,RU,49.4212,130.0842,13.66,90,23,3.22,few clouds
31,Tiksi,RU,71.6872,128.8694,-3.24,97,100,5.44,overcast clouds
32,Bredasdorp,ZA,-34.5322,20.0403,61.54,89,100,6.91,moderate rain
33,Oranjestad,AW,12.524,-70.027,80.55,83,20,8.05,few clouds
34,Kavieng,PG,-2.5744,150.7967,84.78,69,97,7.99,overcast clouds
35,Esqueda,MX,30.7167,-109.5833,47.71,89,100,0.6,overcast clouds
36,Safaga,EG,26.7292,33.9365,64.35,34,57,10.2,broken clouds
37,Nishihara,JP,26.1842,127.7558,70.88,64,75,13.8,light rain
38,Jamestown,US,42.097,-79.2353,29.52,80,90,12.66,light snow
39,Codrington,AU,-38.2667,141.9667,60.55,56,23,22.7,few clouds
40,Aljezur,PT,37.3191,-8.8033,50.09,85,6,9.28,clear sky
41,Cape Town,ZA,-33.9258,18.4232,61.21,88,20,17.27,few clouds
42,Carnarvon,AU,-24.8667,113.6333,95.07,29,0,17.27,clear sky
43,Westport,US,41.1415,-73.3579,39.02,64,20,12.66,few clouds
44,Severnoye,RU,56.3491,78.3619,18.16,92,100,15.43,light snow
45,Dikson,RU,73.5069,80.5464,-7.06,98,100,9.84,overcast clouds
46,Klaksvik,FO,62.2266,-6.589,32.92,62,100,28.7,overcast clouds
47,New Norfolk,AU,-42.7826,147.0587,65.7,40,31,5.35,scattered clouds
48,Port Macquarie,AU,-31.4333,152.9167,64.36,85,100,15.95,overcast clouds
49,Ambon,ID,-3.6954,128.1814,85.26,70,84,4.09,light rain
50,Agadez,NE,19.75,10.25,67.96,24,8,1.7,clear sky
51,Rio Gallegos,AR,-51.6226,-69.2181,50.05,43,75,12.66,broken clouds
52,Busselton,AU,-33.65,115.3333,84.85,31,36,8.12,scattered clouds
53,Borogontsy,RU,62.6683,131.1683,5.54,97,100,2.64,light snow
54,Zainsk,RU,55.3195,52.0694,29.39,92,100,16.71,overcast clouds
55,Port Hueneme,US,34.1478,-119.1951,63.52,69,1,0.0,clear sky
