City_ID,City,Lat,Lng,Date,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
0,Thompson,55.7435,-97.8558,2021-11-26 22:38:02,14.16,light snow,92,90,3.44,CA
1,Pevek,69.7008,170.3133,2021-11-26 22:38:02,-26.99,scattered clouds,99,34,5.77,RU
2,Hermanus,-34.4187,19.2345,2021-11-26 22:38:02,64.15,light rain,92,100,7.02,ZA
3,Bluff,-46.6,168.3333,2021-11-26 22:38:03,50.31,overcast clouds,59,100,5.5,NZ
4,Ushuaia,-54.8,-68.3,2021-11-26 22:35:37,49.66,broken clouds,46,75,21.85,AR
5,Husavik,66.0449,-17.3389,2021-11-26 22:38:03,22.91,scattered clouds,78,39,13.85,IS
6,Iqaluit,63.7506,-68.5145,2021-11-26 22:29:47,17.33,broken clouds,62,75,11.5,CA
7,Qaanaaq,77.484,-69.3632,2021-11-26 22:38:03,10.49,light snow,97,100,3.04,GL
8,Hilo,19.7297,-155.09,2021-11-26 22:37:08,80.33,scattered clouds,54,40,5.75,US
9,Hamilton,39.1834,-84.5333,2021-11-26 22:38:03,34.65,overcast clouds,53,90,6.91,US
10,Bal-Os,9.4416,122.6257,2021-11-26 22:38:04,79.5,overcast clouds,83,96,6.44,PH
11,Sayyan,15.1718,44.3244,2021-11-26 22:38:04,51.94,clear sky,59,1,3.65,YE
12,Mataura,-46.1927,168.8643,2021-11-26 22:38:04,51.67,overcast clouds,61,100,3.09,NZ
13,Norsup,-16.0667,167.3833,2021-11-26 22:38:05,83.21,few clouds,71,18,12.64,VU
14,Manchester,53.4809,-2.2374,2021-11-26 22:38:05,44.24,moderate rain,81,90,27.63,GB
15,Butaritari,3.0707,172.7902,2021-11-26 22:38:05,82.38,overcast clouds,73,98,18.88,KI
16,Yanam,16.7333,82.2167,2021-11-26 22:38:05,75.72,overcast clouds,84,99,6.71,IN
17,Puerto Ayora,-0.7393,-90.3518,2021-11-26 22:38:06,75.16,broken clouds,80,69,11.9,EC
18,Rikitea,-23.1203,-134.9692,2021-11-26 22:38:06,76.32,overcast clouds,71,99,14.99,PF
19,Mount Gambier,-37.8333,140.7667,2021-11-26 22:32:53,60.71,overcast clouds,67,93,16.11,AU
20,Orsha,54.5153,30.4053,2021-11-26 22:38:06,34.07,overcast clouds,94,100,9.48,BY
21,Cape Town,-33.9258,18.4232,2021-11-26 22:33:59,63.01,broken clouds,94,75,11.5,ZA
22,Fortuna,40.5982,-124.1573,2021-11-26 22:38:07,59.92,few clouds,44,20,0.0,US
23,Punta Arenas,-53.15,-70.9167,2021-11-26 22:36:47,51.91,broken clouds,46,75,28.77,CL
24,New Ulm,44.3125,-94.4605,2021-11-26 22:38:07,36.0,clear sky,48,1,9.22,US
25,Halifax,44.6453,-63.5724,2021-11-26 22:36:00,48.25,overcast clouds,100,100,5.75,CA
